"id";"latitude";"longitude";"category";"name";"nearest";"rank"
1;37.4713;127.051;"남미음식";"텍사스데브라질압구정점";"구룡사 앞 교차로 (보도육교)";129
2;37.5729;126.972;"남미음식";"감성타코광화문점";"서울지방경찰청";145
3;37.565;126.98;"양식";"아리아";"롯데호텔";18
4;37.5707;126.984;"양식";"애슐리퀸즈종각역점";"종로타워빌딩";59
5;37.5243;127.041;"양식";"울프강스테이크하우스";"청담동 맥도날드 옆(위치)";13
6;37.4907;127.056;"양식";"VIPS도곡역점";"도곡역 1번 출구";100
7;37.492;127.057;"양식";"아웃백스테이크하우스도곡점";"도곡역 대치지구대 방향";93
8;37.5677;127.016;"양식";"브레라";"신당역 10번 출구";132
9;37.5659;126.984;"양식";"라세느롯데호텔서울";"을지로지하쇼핑센터";15
10;37.4846;127.034;"양식";"아웃백스테이크하우스강남점";"양재역 3번출구 주변";133
11;37.5693;126.979;"양식";"라그릴리아광화문점";"광화문역 5번출구";119
12;37.5653;126.984;"양식";"아웃백스테이크하우스명동점";"KEB 하나금융그룹 명동사옥 옆";110
13;37.5251;127.041;"양식";"오아시스";"청담동 맥도날드 옆(위치)";104
14;37.571;126.983;"양식";"마이클바이해비치";"종로타워빌딩";67
15;37.4995;127.033;"양식";"빌즈강남";"포스코피앤에스타워 (역삼역 3번출구 부근)";145
16;37.5793;126.986;"양식";"소금집델리안국점";"재동초교 앞 삼거리";55
17;37.5646;126.978;"양식";"더플라자호텔세븐스퀘어";"웨스틴 조선호텔";143
18;37.5252;127.022;"양식";"오엔";"현대고등학교 건너편";47
19;37.5597;127.005;"양식";"페스타바이민구";"동대입구역 6번출구 뒤";98
20;37.5243;127.041;"양식";"스케줄청담";"청담동 맥도날드 옆(위치)";25
21;37.6043;126.964;"양식";"더코너키친";"천지인 오피스텔 앞";121
22;37.5561;126.979;"일식";"원조남산왕돈까스";"도동삼거리";38
23;37.4995;127.033;"일식";"보노보노삼성점";"포스코피앤에스타워 (역삼역 3번출구 부근)";27
24;37.5697;126.986;"일식";"갓덴스시종로점";"종로2가 버스정류장 (종각방향)";119
25;37.5497;127.044;"일식";"스시도쿠";"서울숲 IT캐슬";70
26;37.5641;126.985;"일식";"쿠우쿠우명동본점";"명동성당 앞";147
27;37.5683;126.978;"일식";"붓처스컷광화문점";"청계광장 옆";79
